"","insecticide.resistance.hertiability","male.insecticide.exposure","female.insecticide.exposure","resistance.cost","intervention.coverage","dispersal","T500","T300","T100","R500","R300","R100","TR500","TR300","TR100"
"1",0.161408202398627,0.836300045196316,0.876673283874115,0.131475542704138,0.813060926208366,0.105861141548492,127.530049254953,83.5887223161744,83.5887223161744,122.992893602261,79.0515688434897,29.3626512835812,125.261471428607,81.3201455798321,56.4756867998778
"2",0.196168889503053,0.0358070860521402,0.828160575040034,0.109798073766679,0.145037444933783,0.32859334485298,0.859136204118403,0.859136204118403,0.859136204118403,0.178013019946916,0.178013019946916,0.176345886065484,0.51857461203266,0.51857461203266,0.517741045091944
"3",0.204045001329127,0.0740683760698885,0.74870534393139,0.0785855830965308,0.705982965578418,0.408843852091488,65.8833789730225,42.1362862697845,42.1362862697845,65.2486399692478,41.5015472660099,15.5764128540863,65.5660094711352,41.8189167678972,28.8563495619354
"4",0.270316700155236,0.625705440789345,0.543892114477698,0.0794773547461268,0.852005094909947,0.688710351895448,126.347536347784,79.5365876487984,79.5365876487984,125.786791258079,78.975842559094,28.9745887872444,126.067163802931,79.2562151039462,54.2555882180214
"5",0.109112363093183,0.759274003152503,0.874994961924793,0.13652880284695,0.868060654366109,0.560139682643022,81.9105011634643,53.6884375375199,53.6884375375199,81.3844819041385,53.1624182781941,21.093321073653,81.6474915338014,53.425427907857,37.3908793055864
"6",0.234381643891014,0.16368571909098,0.43086639538646,0.125969780638764,0.722436872947682,0.384276607419457,41.6287065174953,27.9665259361777,27.9665259361777,41.1160225381197,27.453841956802,11.2931939759812,41.3723645278075,27.7101839464899,19.6298599560794
"7",0.287655062167556,0.878502142621321,0.768164444502036,0.0862469054020487,0.360123027290497,0.2401592669948,44.7098769079588,34.702453917925,34.702453917925,42.0616549531954,32.0542319631619,15.9026850234237,43.3857659305771,33.3783429405434,25.3025694706743
"8",0.156722853038635,0.338985489645507,0.604283875047986,0.0974951638438879,0.251927671999298,0.797685018306505,0.423889737086659,0.423889737086659,0.423889737086659,0.306624506434909,0.306624506434909,0.30366441018887,0.365257121760784,0.365257121760784,0.363777073637764
"9",0.12555988130375,0.0148537488839356,0.585141104833223,0.111930034800066,0.76186907183975,0.471594351204671,30.0403281211862,19.6956680683337,19.6956680683337,29.7802294022339,19.4355693493814,7.68433378451614,29.9102787617101,19.5656187088575,13.6900009264249
"10",0.177413606688322,0.129162810327834,0.715302563810081,0.123823801452693,0.85173317649262,0.884225764966663,63.7362625941067,41.7529451670604,41.7529451670604,63.472516396492,41.4891989694458,16.5245016733478,63.6043894952994,41.6210720682531,29.1387234202041
"11",0.101488186997158,0.951425443545915,0.857861337779788,0.122249193443826,0.405548545824271,0.551824587787967,7.25651627289494,7.25651627289494,7.25651627289494,6.86955317732872,6.86955317732872,5.03513716393919,7.06303472511183,7.06303472511183,6.14582671841707
"12",0.101114166191721,0.622822607196053,0.547034997535229,0.151233036512218,0.453721268032398,0.584876927907206,4.01504710651272,4.01504710651272,4.01504710651272,3.81465985857035,3.81465985857035,2.96258125091818,3.91485348254154,3.91485348254154,3.48881417871545
"13",0.126258723448846,0.293882669301354,0.469843255704327,0.109447048275787,0.108299562751502,0.736538055220712,0.0668540088155795,0.0668540088155795,0.0668540088155795,0.0042159049021793,0.0042159049021793,0.0042159049021793,0.0355349568588794,0.0355349568588794,0.0355349568588794
"14",0.277951345458161,0.906046439587022,0.628121571903408,0.0996071962773916,0.779450263687316,0.406043063001428,150.110025375125,96.698788732297,96.698788732297,148.742564177534,95.3313275347054,36.3392383626158,149.426294776329,96.0150581335012,66.5190135474564
"15",0.120943187356635,0.921636508143274,0.474856974668975,0.0146713958761981,0.756906163430959,0.251472885555215,63.1196550628152,38.2131295983545,38.2131295983545,62.4228629300715,37.5163374656108,12.3370800112554,62.7712589964433,37.8647335319827,25.2751048048049
"16",0.106989878459804,0.779072632331634,0.596100986026751,0.198820153966235,0.17505778333405,0.153448260153364,1.30478532848623,1.30478532848623,1.30478532848623,0.0340395735521712,0.0340395735521712,0.0340395658494235,0.669412451019198,0.669412451019198,0.669412447167824
"17",0.0717469925045734,0.540012184096151,0.534125763059186,0.103993942155277,0.237361776289158,0.576939456948359,0.520688402892698,0.520688402892698,0.520688402892698,0.415286695103243,0.415286695103243,0.411081511737087,0.467987548997971,0.467987548997971,0.465884957314893
"18",0.120799129185994,0.0814601431097835,0.88923085614189,0.142171818979634,0.476839193871804,0.466608605735563,7.93610139221785,7.93610139221785,7.93610139221785,7.57786135183108,7.57786135183108,5.02766369057767,7.75698137202446,7.75698137202446,6.48188254139776
"19",0.209880828654568,0.942410924973548,0.801934141711448,0.0473670534037438,0.156016398611851,0.474945296566933,3.63049197406751,3.63049197406751,3.63049197406751,2.9105539936822,2.9105539936822,2.66204784574332,3.27052298387485,3.27052298387485,3.14626990990541
"20",0.0829837341857201,0.0731705506463768,0.675277924140973,0.107143608957903,0.645957344774623,0.149707335287239,21.2719869480873,14.1390790746197,14.1390790746197,20.5700427282137,13.4371348572978,5.21255485980503,20.9210148381505,13.7881069659587,9.67581696721234
"21",0.158203033265338,0.341389919367735,0.796672213128826,0.183513374806393,0.698055434523895,0.799107930613589,26.3495985225249,22.0510368588715,22.0510368588715,26.032974456917,21.7344127932635,12.1850811580577,26.191286489721,21.8927248260675,17.1180590084646
"22",0.207275814225635,0.119879594849772,0.523026582231687,0.143431941371829,0.668965302887559,0.486775513402373,30.1890665609789,21.635450714573,21.635450714573,29.7903504630059,21.2367346166,9.73615793615772,29.9897085119924,21.4360926655865,15.6858043253653
