"","insecticide.resistance.hertiability","male.insecticide.exposure","female.insecticide.exposure","resistance.cost","intervention.coverage","dispersal","treatment.intensity"
"1",0.206176813476271,0.858567879496445,0.743842380062887,0.0945839367325099,0.778804501214903,0.773337510362137,113.839695036263
"2",0.13683198876573,0.81532070606905,0.407803066774283,0.0958799882351945,0.495040218808558,0.61362083316898,12.2949893035482
"3",0.17147340962395,0.241872701084684,0.878057064701861,0.0610900005858429,0.575900773027539,0.754532219190598,41.9776051747991
"4",0.249474875342887,0.735221772575471,0.527532452531147,0.0471811276062927,0.47016044571409,0.675169833290503,38.7930281104664
"5",0.0573142072410905,0.768108344783657,0.66571292179334,0.174465303554087,0.19170534142578,0.210752988917809,0.652568177877853
"6",0.267853699538793,0.497339500558097,0.677632183601893,0.0508509335157143,0.60092627205912,0.868980936770942,65.8300008403286
"7",0.246868948115181,0.559183667698177,0.851568149425765,0.0793957027274279,0.246285411250703,0.591558773819748,4.20087980073293
"8",0.0907627651172457,0.25983759606923,0.592040970033652,0.0727310737542317,0.412417920793258,0.60597512726333,6.30860035863892
"9",0.275295232031558,0.474735485710995,0.866263845726778,0.0375785096532856,0.17949065890681,0.281851294195689,16.9378483282947
"10",0.0641783295758534,0.873360880572372,0.868587286680413,0.16429718074695,0.348600266042557,0.42853196846297,2.50437449919765
"11",0.0715365542436426,0.855419122890476,0.531286390472297,0.139670178426539,0.454015307250656,0.21323297032943,7.50321791661422
"12",0.298032683060196,0.766622803191119,0.780310469766764,0.111856466666796,0.523867059400976,0.768632400582451,34.9114287440661
"13",0.193746928882832,0.438518722843961,0.846762287412968,0.0131468726880252,0.890910384702962,0.732593315728214,156.861322380546
"14",0.184702628679544,0.0493510081822053,0.608757651449239,0.0652483928070059,0.296112133234367,0.121832193915546,14.0916941348434
"15",0.184140282195882,0.686628666640841,0.636966381364909,0.107511462362566,0.560928296067901,0.382075752051082,43.0134684032394
"16",0.189440890311368,0.492176695528207,0.452977419593243,0.144567695058507,0.201271755224057,0.323745167221874,1.10037434561616
"17",0.16677060590827,0.282184062657645,0.403855825963966,0.0511286755585014,0.607245048304331,0.768936751154065,23.249755253945
"18",0.225746567917342,0.947188162965141,0.427268811039964,0.0612697966588302,0.781614605939165,0.471304581044633,93.4044067825843
"19",0.229719971448596,0.452383090944309,0.840679784681124,0.0226388695750253,0.298871989226807,0.635799746956285,27.1658366047042
"20",0.144885395576921,0.549171307040891,0.569159853933065,0.166474547812539,0.4212861645093,0.508700840899348,4.43492058439363
"21",0.222426254659618,0.266400267518964,0.887791962460277,0.0522707043433462,0.285338399378937,0.665822808758859,6.98180076982393
"22",0.0633440410323965,0.787313360659825,0.632071220402292,0.0435647425624679,0.246498946079276,0.383059854581393,4.85944666027447
"23",0.120943215362885,0.283322206122242,0.629557396675868,0.104119475637864,0.188540598658305,0.230634406768139,1.62110244160031
"24",0.262757605827186,0.687978571216203,0.860222065963561,0.0719932748384387,0.216485802724529,0.870513568232637,0.403819057699204
"25",0.237605190182134,0.877260131885577,0.453379019144166,0.0278453225381027,0.430341515845712,0.220631175304316,54.6057779805665
"26",0.118608459165058,0.54639356836949,0.48744696272806,0.146482170308628,0.379739053160418,0.436267255178597,3.1605762131198
"27",0.0848343618701969,0.982949780745525,0.592915639053506,0.106124937028609,0.1022102985668,0.462906379108802,0.233761564283988
"28",0.203561255505838,0.529221741051693,0.853374816510524,0.058599180038014,0.751171867094338,0.237435834129117,134.698799887489
"29",0.152791068386729,0.521882022534055,0.644653531457577,0.157135306072337,0.579531464667432,0.358123670545369,24.3446508866411
"30",0.110742575516232,0.577490814344073,0.659873098146333,0.016755141006045,0.363248475553635,0.318817132544965,24.6847863392354
"31",0.0682310617495852,0.847474484050088,0.509166175080021,0.020918923046516,0.224991715092789,0.799740320772603,2.03011742942898
"32",0.108619913491077,0.0509160758358659,0.470612361602031,0.137297913931772,0.226941755815856,0.637983493301701,0.0920038260211434
"33",0.284478366238129,0.832320128426724,0.748133485657524,0.0574845092466732,0.445154568390884,0.509780437999219,65.367964574826
"34",0.176041944001324,0.495696529654088,0.66624959341489,0.167766951521385,0.857627564588115,0.802450014115702,70.7209228788862
"35",0.183183355136745,0.666377046336303,0.407536853071721,0.016621447679295,0.679167689086292,0.387101460886765,58.5917380525182
"36",0.228987420810468,0.958171764662466,0.826298555689911,0.0358321444373371,0.193017893313207,0.478228893217314,12.0766952674934
"37",0.133528912703577,0.613020491496357,0.565433962777304,0.161793843498759,0.654784817093462,0.873874616164658,14.5830851536692
"38",0.118525346173259,0.899570881272783,0.604270667100488,0.126870798026619,0.712255335132163,0.520284502866119,42.9054077673415
"39",0.0865235104752006,0.0578620556677226,0.879392512993212,0.063989935802893,0.127484248807058,0.16252087120045,1.38847477617081
"40",0.176409161919309,0.194846753350133,0.418409602213721,0.0209892302793371,0.302305117090251,0.802178504349068,6.34118066028272
"41",0.0950167034530779,0.856465907412977,0.78663682949479,0.101508125759457,0.677271913728509,0.77161232199803,36.6435486742526
"42",0.0522559212562745,0.202520858170162,0.541602796764544,0.140961451830222,0.708629187491704,0.242912896935567,11.7658218250825
"43",0.294842912014568,0.822584318069043,0.795610284373886,0.0680889775120309,0.63314049328994,0.677831054495107,122.927999692899
"44",0.0536564834819408,0.425677600360359,0.482599308222323,0.0502270832555273,0.793961577819232,0.750023836207762,17.9596034229884
"45",0.159221347722667,0.297173107938329,0.640137671124307,0.116204783194643,0.664517903723847,0.734560006341245,30.9072795964763
"46",0.108909849909757,0.411634927602042,0.60107762875862,0.0926259503716645,0.627538606977854,0.8905555738727,18.2000854579202
"47",0.291925876978424,0.771334711151314,0.632692585766607,0.192572237294442,0.891700145871248,0.688302715614438,142.061393224505
"48",0.215779490546702,0.540715042012814,0.843831361559604,0.0605323872964475,0.818528401240129,0.339166672141626,156.416368562623
"49",0.0940011974410969,0.162474518362992,0.697670675998705,0.0559403858864028,0.772959415184204,0.780551075458136,34.1015983887521
"50",0.134739493764169,0.340301191718737,0.704256279808027,0.133577685164773,0.223221831474211,0.227145919142161,2.34247146469604
"51",0.173880652302963,0.782560525589786,0.582409444111306,0.180736490421057,0.498854061061256,0.194008836016506,16.6694392854614
"52",0.121881088224595,0.853185867796163,0.649327539451141,0.184342054194259,0.26883784067614,0.338371582735498,1.93909013156378
"53",0.120229369012185,0.552876865489432,0.708482130421896,0.108674512441156,0.619800830167998,0.700572838961892,26.8963456191295
"54",0.221317775740643,0.87545974750889,0.694839570808748,0.0919385985279584,0.123105947815478,0.636800744118392,0.38012728406742
"55",0.0526783858717245,0.647895279386593,0.527663948813395,0.0419736157533233,0.767866212584935,0.286577780444436,24.6751270195024
"56",0.251830789845932,0.351103373277467,0.516417536310572,0.124850857991004,0.817312578580529,0.653003266602662,74.6140003960355
"57",0.2702821385363,0.954919153467473,0.68504664727546,0.11648018832097,0.569976593247466,0.285531966293156,84.8792139761684
"58",0.262155378877919,0.877413826499693,0.860343000199623,0.0423313470016958,0.619690606725998,0.710417064458001,130.562127837229
"59",0.1254853940506,0.177770865439135,0.832616194795119,0.168234292174406,0.582558444021493,0.459701516201477,15.188021179131
"60",0.222056938370055,0.827841851417208,0.468678382823872,0.171911309665053,0.336166664099712,0.651554201338142,1.95372867792257
"61",0.290147646514536,0.906395985344495,0.410704623788584,0.174066247063047,0.335836119791567,0.664845180714745,2.1184310452084
"62",0.0670656439160055,0.325085023753578,0.441277019797883,0.100243410826402,0.501683008586448,0.24442510420287,8.10382416579011
"63",0.0529358178438502,0.914115573949204,0.768737010010169,0.0446333346136326,0.51645660483567,0.411178777851071,21.199808482789
"64",0.0644876331851061,0.0622349249982042,0.669405824378866,0.0974637877115419,0.261341021251157,0.212360132091213,1.73845944265326
"65",0.0504547516505816,0.310634259246965,0.50626905475806,0.165300700880583,0.876087144412473,0.372118018605765,16.0841002626015
"66",0.266328380778513,0.144605925472826,0.510486712671688,0.020446914479163,0.440984204223175,0.675559229215234,30.0439543585272
"67",0.294433238535153,0.491607997690514,0.635736671648966,0.138240720424779,0.731257440616135,0.700402965034545,80.0594477417374
"68",0.263454498254752,0.489002848581527,0.519901537699986,0.105703101325131,0.634829696301632,0.763167548220195,43.0272068475743
"69",0.266632780780096,0.065501150191389,0.420543787102739,0.146834947002885,0.310267093141712,0.299701274284907,3.17179558560267
"70",0.122148229622736,0.620895099510928,0.400408183579927,0.0616628941987157,0.39382496647602,0.482028661205694,9.90045913858841
"71",0.176548551911087,0.619510780441039,0.792525815439271,0.084978765765077,0.573736037196927,0.847564710644279,36.6823155155319
"72",0.159751930663601,0.754918314837315,0.417497338825476,0.182235908977485,0.626912845731098,0.545111108277664,15.0685438437643
"73",0.237351774635591,0.0496709928216645,0.657900157333957,0.16761086544874,0.522348463718705,0.848267250187099,6.29840539276894
"74",0.119959213057382,0.0820264268904924,0.669821791399014,0.0945375656584082,0.773357960205544,0.175610808379333,42.561108406634
"75",0.245364075923228,0.548110315128579,0.586845979811728,0.0773480682892371,0.775125264656246,0.358580136762876,108.151553717418
"76",0.0936390293265926,0.96007475722013,0.890346764484805,0.0370637887812774,0.2014144274652,0.716771544832848,2.00593332920237
"77",0.169207859025127,0.0599929322424112,0.816346420630498,0.183188563064895,0.700049232681785,0.216591784338169,41.1854945266113
"78",0.143973209708784,0.367335841871705,0.82178103705832,0.0805122032320197,0.836629731907491,0.745169259755462,80.8750454931178
"79",0.201044849330187,0.454626077200682,0.676846981493686,0.0884487722590531,0.329764674499817,0.441164730356298,8.39423096313869
"80",0.237504912421491,0.937933884056099,0.810124988747726,0.018170473283438,0.545197604286577,0.25153474858636,139.956140659129
"81",0.223804147690936,0.334152532282867,0.73398852389456,0.195727266191414,0.473484928813875,0.354414605704453,12.9205007600452
"82",0.134924029923126,0.796207885942305,0.726448165165598,0.0884963340198838,0.44965352592323,0.402443334063739,25.0910135035327
"83",0.0919914125491632,0.790926708305907,0.456636929083732,0.155361036831082,0.705363411881998,0.546829155765679,19.5239634346337
"84",0.295911744124355,0.0205017956039868,0.822157728405867,0.0692350244679537,0.405570232305359,0.699897929046396,18.2743319264896
"85",0.172594041436014,0.95209042661842,0.617164937362075,0.179517393600102,0.641742243915834,0.572517092679068,29.8197017230126
"86",0.194229073686129,0.0140239680757746,0.736254358471395,0.141346462930484,0.79943091937948,0.34848300251931,61.5818916900533
"87",0.104296430387162,0.630550697809155,0.714467303569196,0.0555333386014949,0.412870842974409,0.23560867395442,24.9624350415241
"88",0.242707335143344,0.144396778792189,0.866216967981588,0.0173355222344317,0.732515427195653,0.856847963728961,106.715611690405
"89",0.169893436009821,0.586212128199427,0.881352605780016,0.124238513549973,0.140504230647814,0.128135956361815,3.62296891986048
"90",0.0652542706957785,0.615301078304299,0.749487798502168,0.0755492556536545,0.107724666477852,0.255957052875366,0.599542213041344
"91",0.193184369050915,0.356621211264934,0.444252363439091,0.197655696170342,0.274477104711197,0.696438806743212,0.189990746032633
"92",0.14272710238513,0.417883221591916,0.446843929487362,0.0958091923810055,0.820755664642528,0.26482920704579,47.2392569676143
"93",0.164869050031854,0.881576323917764,0.43460546261865,0.167514522310136,0.108203337108567,0.69811032602571,0.136222419061377
"94",0.0727969009680324,0.175730916097737,0.760149964238354,0.0416156436801653,0.397273661892545,0.766097321332283,6.70787490189184
"95",0.0632382321441546,0.546036023053876,0.870038949991833,0.117536410403692,0.132394934277218,0.443877530060336,0.226359479628393
"96",0.268591673736885,0.0116472935029073,0.591584778904822,0.173070961520685,0.237887813338041,0.203592258682884,2.83159625363034
"97",0.252934447966015,0.447790395646612,0.691385595421994,0.110498089582593,0.857491451281495,0.730397472057678,123.865704332247
"98",0.115603876398195,0.117546792178461,0.778561128075223,0.195322972124766,0.413020969586317,0.140126820507254,6.28375855294361
"99",0.183935821894981,0.950475158357038,0.625506572061288,0.0108372887247549,0.677973191835731,0.328270327561498,109.862864896656
"100",0.0643362753047608,0.253335959720053,0.475456135636126,0.14503100838645,0.361844458310716,0.728816065464523,0.538773746841603
"101",0.0522102592345735,0.309593957656599,0.775412978823937,0.153334908591916,0.48694739727715,0.185895808994807,6.46733491437715
"102",0.0503967964412645,0.244057636327296,0.419627620184107,0.0511541972442931,0.201059647454917,0.117135689751729,1.8024682203202
"103",0.285310599048267,0.564704265961633,0.527268680324499,0.128048868533068,0.482313186418656,0.229411449034102,34.7002679080607
"104",0.267109031978837,0.0777672552285949,0.679388529265579,0.0468646358428309,0.618321581290737,0.713380884597488,58.480181375075
"105",0.267337215981842,0.22874911069246,0.763370766555076,0.0175795950103074,0.37086770916285,0.671194386535678,36.9217704408493
"106",0.296453917264787,0.0971151151048485,0.550777145573869,0.0656315946857021,0.429865443342105,0.876960159858577,10.8123597986634
"107",0.261615416113386,0.655782006841199,0.700669226630358,0.107310897232209,0.889498384119123,0.592872387423013,167.392570311695
"108",0.101761270024098,0.769376890589041,0.423742816667154,0.0300926138043017,0.16979209793888,0.671815631480552,0.904239290147456
"109",0.285532701858703,0.263790807509259,0.645278021236125,0.166837390958985,0.143368648661803,0.585735826859307,0.38536280274587
"110",0.25264219540318,0.930229977852316,0.716533577564883,0.13905837767351,0.438699176196065,0.33492818152748,24.0899107098775
"111",0.27507630290392,0.250413769189664,0.591181414196908,0.0753678652697904,0.443290484302994,0.548240949205011,25.7386751014244
"112",0.102741379532719,0.237761516264873,0.441971614461206,0.108041878817464,0.786107408865336,0.566574101584032,23.697109002166
"113",0.0990788928920461,0.474638246519305,0.7960505716949,0.175474337799684,0.673047382316403,0.453883120315783,24.6034215869268
"114",0.0896787960190384,0.82747754959478,0.8357248371594,0.105822449079184,0.29978468460517,0.45606708038494,3.39949728709313
"115",0.177685807803029,0.525522487983201,0.820894044001855,0.109355402637033,0.555107078395896,0.100558406910077,62.1229292691602
"116",0.166844530293992,0.177141012383741,0.464918819313042,0.0595603823375157,0.261124568751194,0.528050719387643,2.58250950782815
"117",0.102557616011839,0.542065898213373,0.864620286055142,0.195539451670359,0.824095127159692,0.180361891038325,55.3746687063773
"118",0.144509060380887,0.869572945696302,0.654344137192238,0.165180127120204,0.345873781123869,0.104004404431954,9.8271588759655
"119",0.142689741156565,0.972224937596545,0.666947604558163,0.120795831645194,0.568415001356993,0.323824921799488,40.7489239822514
"120",0.125773761842394,0.723855502159521,0.760960866274953,0.14841979799053,0.472934571658205,0.151717835417371,20.8292349261333
"121",0.13646264793672,0.681565480941976,0.434208283686161,0.0214529996904426,0.12227369124027,0.70551030059902,0.604064289391001
"122",0.267982112377818,0.373144365881127,0.781768971300754,0.0348264353490551,0.439792623622678,0.288671344747264,72.1221919433542
"123",0.209071353508724,0.0668823792867595,0.702491675215308,0.0317788834246164,0.300271046656091,0.764096900739968,8.99044936632161
"124",0.194474222123943,0.426357999826898,0.453953066016838,0.195179155230529,0.596143985134363,0.837194970973656,7.6689748741015
"125",0.162279374745768,0.0562745476055192,0.505806243495282,0.0494398871584781,0.346546808766071,0.254625333344005,13.6482375727155
"126",0.2208332108473,0.550657683908497,0.466928246625455,0.174219105595055,0.400328915645108,0.891179356039017,1.36449779780154
"127",0.122361247067392,0.373440700399969,0.421476370870404,0.0384299954163958,0.766963514134791,0.576320712765343,35.226764536918
"128",0.245526659122895,0.621157650244073,0.5514512732459,0.186644783740837,0.101188033659458,0.122843366852421,2.94743355369282
"129",0.235147338545439,0.211781276839739,0.446105629696918,0.0903216355107939,0.803218752925657,0.107455397724751,68.1228314041869
"130",0.134321585343772,0.498896719348407,0.794485418888333,0.0866491233995962,0.827083006625082,0.430553754636347,83.0988313253226
"131",0.150103318614286,0.369814291895623,0.411763297807693,0.106724403705141,0.415925255683437,0.346209891064297,8.06990244151176
"132",0.250825640140439,0.22132574409761,0.777809858724033,0.114344224217448,0.719022886619065,0.391114458619654,87.2537087499347
"133",0.167806271160633,0.892887817522278,0.628209074880835,0.196980308977954,0.444894232578613,0.698714916040786,4.58042097704704
"134",0.0944565442334686,0.392685937495064,0.664476648489921,0.143527655037856,0.15365057870768,0.514069271142483,0.189159259747774
"135",0.120495488223305,0.595409445392527,0.624046965631167,0.195906173894539,0.615549681722,0.188675500207804,21.7291493018772
"136",0.158119234214601,0.971709392336733,0.475743186634092,0.167923054968801,0.439669003240373,0.49583151845606,6.23271810699356
"137",0.28402209023211,0.165239015304996,0.488329526919802,0.124281641869215,0.332626731801778,0.69301265106285,2.2784693407154
"138",0.266748646087572,0.854625172127574,0.472353548141103,0.130685212177752,0.459612146282569,0.799370863077063,8.02361172486642
"139",0.247718368469726,0.452582623359351,0.744030408616399,0.0265437725964768,0.39533303774491,0.508308420917112,48.8113359004943
"140",0.106111964844371,0.40333808080405,0.491596663691278,0.139541487353155,0.56777410987515,0.423981591127981,11.9241224441242
"141",0.0689224335760693,0.920632804106944,0.805886356361001,0.0836406060275629,0.448616390391234,0.398080780359134,16.0952373188039
"142",0.214233265856531,0.631702463603718,0.873742655623215,0.0327170889539404,0.607436295354627,0.273660533433873,122.974826047801
"143",0.165853494395723,0.422665294040763,0.759439085492899,0.162606558204731,0.434205400368012,0.235190713689253,12.4464034134999
